track_genre,contagem,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
acoustic,1000,42.483,214896.957,0.549593,0.43536810000000004,5.045,-9.447843,0.816,0.043247,0.56681639833,0.03833583693,0.1532444,0.42402300000000004,119.01062399999999,3.885
afrobeat,1000,24.399,248412.791,0.6695800000000001,0.702812,5.551,-7.789353,0.511,0.0865789,0.2708599523,0.25348287056,0.184596,0.6986192,119.213337,3.946
alt-rock,1000,33.943,235455.907,0.5344930000000001,0.754173,5.738,-6.191489,0.641,0.0550705,0.12216223569000001,0.054096570069999995,0.2102486,0.5182603,124.63440399999999,3.939
alternative,1000,24.337,222016.18,0.5599270000000001,0.72003,5.567,-6.078777,0.606,0.0701007,0.14782023359000002,0.0381586047,0.2013763,0.4955701,122.232394,3.942
ambient,1000,44.191,237059.038,0.3678668,0.23716178999999998,4.945,-18.601365,0.62,0.041561999999999995,0.7767899403999999,0.6762211611,0.12928309999999998,0.16749819999999999,111.113129,3.653
anime,1000,48.772,210204.076,0.5374514,0.6741083,5.332,-7.932289,0.513,0.087323,0.26773437274,0.26297120969000004,0.19717500000000002,0.4344631,123.52961599999999,3.923
black-metal,1000,22.449,311103.115,0.29641090000000003,0.8748973,5.366,-6.528524,0.584,0.0871562,0.02705552076,0.44084682085,0.2414203,0.1917364,128.601515,3.824
bluegrass,1000,25.676,221496.69,0.5346920000000001,0.5302796,5.544,-9.922818999999999,0.852,0.038690300000000004,0.556587756,0.13680780283,0.2276738,0.6350927000000001,126.578805,3.911
blues,1000,31.188,222594.857,0.568567,0.5818775,5.517,-8.522547000000001,0.714,0.0639181,0.3981138453,0.03409199347,0.1918301,0.6040318,116.568352,3.888
brazil,1000,44.67,274230.482,0.562948,0.620721,5.423,-7.602097,0.691,0.0959996,0.3323864701,0.013079727840000001,0.297962,0.46978960000000003,121.935644,3.957
breakbeat,1000,20.123,321762.218,0.6461939999999999,0.853275,5.64,-6.0343800000000005,0.592,0.0857084,0.031410166180000004,0.39585736039,0.2203164,0.4747443,133.03021299999997,3.989
british,1000,43.802,221502.449,0.5012758,0.50712697,4.98,-10.519963,0.654,0.05001,0.42794293626,0.19367906512,0.1742984,0.4397141,118.828617,3.846
cantopop,1000,34.739,229203.236,0.547909,0.4616962,5.136,-9.667446,0.773,0.0390832,0.5362672456,0.012618851720000001,0.19194540000000002,0.3935679,124.27733500000001,3.922
chicago-house,1000,12.339,366853.868,0.7661760000000001,0.7332150000000001,5.832,-9.149466,0.498,0.0743887,0.035310449570000006,0.48280494636000004,0.137569,0.5865412,123.92268000000001,3.988
children,1000,35.047,138987.757,0.716467,0.49464517999999996,4.528,-9.406671000000001,0.867,0.0927109,0.49867714840000005,0.060557063710000004,0.1813519,0.6942874,123.341201,3.87
chill,1000,53.651,169009.967,0.664346,0.42672289999999996,5.355,-10.460977999999999,0.613,0.10216710000000001,0.5340969548000001,0.17802204236,0.1682,0.4037695,115.479376,3.944
classical,1000,13.055,233075.004,0.3819228,0.189827326,4.983,-20.145216,0.745,0.0508306,0.9200489485,0.6192076276599999,0.1668376,0.38105,107.949793,3.689
club,1000,33.338,206297.218,0.6033541,0.7217338,5.178,-6.900815,0.66,0.0943238,0.15939126669,0.34782217578,0.1993685,0.3682132,123.301328,3.943
comedy,1000,24.628,225430.863,0.577195,0.699934,5.054,-10.457473,0.719,0.7556253,0.726476182,0.00052477331,0.6616660000000001,0.4548455,100.995582,3.601
country,1000,17.028,205999.026,0.555294,0.5968052,5.479,-7.281778,0.889,0.042268,0.321226736,0.00558462043,0.1772382,0.5214813,123.963307,3.887
dance,1000,22.69,197756.89,0.687856,0.708583,5.447,-5.362527,0.533,0.0876378,0.1311856039,0.00835941532,0.1681884,0.5525414,120.128306,3.993
dancehall,1000,33.467,197455.019,0.734169,0.6852619999999999,5.315,-6.119958,0.488,0.1869861,0.215493569,0.0071340299600000006,0.1567694,0.6290086,112.909984,4.082
death-metal,1000,32.169,247492.705,0.36841090000000004,0.93147,5.282,-5.350307,0.608,0.1112591,0.0066957065,0.27573075265,0.2432416,0.2476111,123.779016,3.885
deep-house,1000,44.808,219344.579,0.710448,0.741855,5.491,-6.971501,0.462,0.0599097,0.10145172488,0.23761450877,0.1708076,0.4472821,120.874904,3.984
detroit-techno,1000,11.174,372012.402,0.722568,0.7105123999999999,5.825,-11.085944,0.499,0.07271670000000001,0.06564069705999999,0.6995483518,0.15450909999999998,0.4692299,126.59223399999999,3.985
disco,1000,33.522,245902.859,0.676692,0.737565,5.327,-7.422032,0.627,0.0592516,0.1662128304,0.08095198711,0.1953252,0.6707538,121.97438000000001,3.957
disney,1000,27.536,156257.344,0.46287419999999996,0.30251886,4.441,-14.969963,0.793,0.0748771,0.7428922646,0.38355346894000003,0.16853030000000002,0.3685574,112.060854,3.806
drum-and-bass,1000,26.657,278791.356,0.535486,0.8766349999999999,5.397,-4.159624,0.471,0.0916362,0.025930575560000002,0.37143774644,0.2205559,0.32147390000000003,155.241712,4.007
